 51    3.705026 2.354E-44 2.868E-10.08030.087 8414.46930.76-.000479              4              4                    R  0      475663 5 8 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51    3.740024 1.110E-38 5.999E-09.08030.087 6350.43900.76-.000479              3              3                    R  0      475663 5 8 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51    3.775024 9.233E-34 1.947E-08.08030.087 4260.06220.76-.000479              2              2                    R  0      675663 5 8 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51    3.810028 5.706E-29 4.130E-08.08030.087 2143.27110.76-.000479              1              1                    R  0      685663 5 8 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51    3.845033 3.300E-24 7.207E-08.08030.087    0.00000.76-.000479              0              0                    R  0      685663 5 8 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51    7.409906 1.815E-43 2.726E-09.07570.081 8418.17430.75-.000245              4              4                    R  1      475663 5 8 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51    7.479900 8.621E-38 5.746E-08.07570.081 6354.17910.75-.000245              3              3                    R  1      475663 5 8 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51    7.549901 7.177E-33 1.867E-07.07570.081 4263.83720.75-.000245              2              2                    R  1      675663 5 8 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51    7.619908 4.436E-28 3.961E-07.07570.081 2147.08110.75-.000245              1              1                    R  1      685663 5 8 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51    7.689920 2.566E-23 6.914E-07.07570.081    3.84500.75-.000245              0              0                    R  1      685663 5 8 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51   11.114491 5.760E-43 9.697E-09.07120.077 8425.58420.74-.000058              4              4                    R  2      475663 5 8 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51   11.219483 2.770E-37 2.070E-07.07120.077 6361.65900.74-.000058              3              3                    R  2      475663 5 8 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51   11.324485 2.309E-32 6.738E-07.07120.077 4271.38710.74-.000058              2              2                    R  2      675663 5 8 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51   11.429495 1.428E-27 1.430E-06.07120.077 2154.70100.74-.000058              1              1                    R  2      685663 5 8 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51   11.534513 8.256E-23 2.497E-06.07120.077   11.53500.74-.000058              0              0                    R  2      685663 5 8 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51   14.818636 1.253E-42 2.329E-08.06770.074 8436.69870.740.000091              4              4                    R  3      475663 5 8 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51   14.958626 6.131E-37 5.063E-07.06770.074 6372.87850.740.000091              3              3                    R  3      475663 5 8 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51   15.098628 5.119E-32 1.651E-06.06770.074 4282.71160.740.000091              2              2                    R  3      675663 5 8 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51   15.238641 3.165E-27 3.509E-06.06770.074 2166.13050.740.000091              1              1                    R  3      685663 5 8 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51   15.378665 1.830E-22 6.129E-06.06770.074   23.06950.740.000091              0              0                    R  3      685663 5 8 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51   18.522193 2.189E-42 4.512E-08.06510.071 8451.51730.740.000206              4              4                    R  4      475663 5 8 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51   18.697181 1.096E-36 1.005E-06.06510.071 6387.83710.740.000206              3              3                    R  4      475663 5 8 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51   18.872183 9.172E-32 3.286E-06.06510.071 4297.81020.740.000206              2              2                    R  4      675663 5 8 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51   19.047200 5.674E-27 6.990E-06.06510.071 2181.36920.740.000206              1              1                    R  4      685663 5 8 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51   19.222229 3.280E-22 1.222E-05.06510.071   38.44810.740.000206              0              0                    R  4      685663 5 8 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51   22.015052 1.206E-45 5.512E-07.06320.06910507.26750.740.000294              5              5                    R  5      455663 5 8 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51   22.225016 3.299E-42 7.622E-08.06320.069 8470.03950.740.000294              4              4                    R  5      475663 5 8 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51   22.435001 1.701E-36 1.748E-06.06320.069 6406.53430.740.000294              3              3                    R  5      475663 5 8 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51   22.645004 1.427E-31 5.739E-06.06320.069 4316.68240.740.000294              2              2                    R  5      675663 5 8 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51   22.855024 8.829E-27 1.222E-05.06320.069 2200.41640.740.000294              1              1                    R  5      685663 5 8 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51   23.065059 5.103E-22 2.138E-05.06320.069   57.67040.740.000294              0              0                    R  5      685663 5 8 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51   25.681999 1.734E-45 8.995E-07.06180.06810529.28250.750.000359              5              5                    R  6      455663 5 8 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51   25.926958 4.453E-42 1.169E-07.06180.068 8492.26460.750.000359              4              4                    R  6      475663 5 8 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51   26.171941 2.377E-36 2.780E-06.06180.068 6428.96930.750.000359              3              3                    R  6      475663 5 8 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51   26.416944 2.000E-31 9.165E-06.06180.068 4339.32740.750.000359              2              2                    R  6      675663 5 8 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51   26.661967 1.239E-26 1.955E-05.06180.068 2223.27140.750.000359              1              1                    R  6      685663 5 8 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51   26.907008 7.158E-22 3.423E-05.06180.068   80.73540.750.000359              0              0                    R  6      685663 5 8 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51   29.347919 2.307E-45 1.379E-06.06060.06610554.96450.750.000405              5              5                    R  7      455663 5 8 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
 51   29.627872 5.503E-42 1.667E-07.06060.066 8518.19150.750.000405              4              4                    R  7      475663 5 8 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
 51   29.907852 3.062E-36 4.137E-06.06060.066 6455.14120.750.000405              3              3                    R  7      475663 5 8 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
 51   30.187856 2.586E-31 1.371E-05.06060.066 4365.74430.750.000405              2              2                    R  7      675663 5 8 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
 51   30.467882 1.602E-26 2.930E-05.06060.066 2249.93340.750.000405              1              1                    R  7      685663 5 8 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
